Coordinates
"[29.1760933, -80.9828323]"
"[29.2108147, -81.0228331]"
"[29.2108147, -81.0228331]"
"[29.2108147, -81.0228331]"
"[29.2108147, -81.0228331]"
"[-33.6782234, 26.1900266]"
"[33.3541739, -79.1529139482721]"
"[56.00815849999999, -3.3909884500000267]"
"[26.318342, -80.0996306]"
"[38.7737222, -75.1580588]"
"[-9.519335850000001, 141.5711755798207]"
"[26.4614625, -80.0728201]"
"[26.4614625, -80.0728201]"
"[6.69270005, -58.25093129773093]"
"[55.670249, 10.3333283]"
"[-20.35923885, 148.93284326980898]"
"[-20.986171499999998, 149.78575811788687]"
"[54.1326622, -0.791337]"
"[30.3935337, -86.4957834]"
"[30.379754, -86.3414787]"
"[38.691184, -75.0752724]"
"[-26.7803121, 153.1371567]"
"[49.5221231, 7.4964952]"
"[38.2481035, -122.95520923129016]"
"[-21.5339382, 115.13050208732683]"
"[-12.09075025, 96.87750104570765]"
"[27.76134075, -80.40061411269102]"
"[36.42930045, 27.316339433417117]"
"[27.19414955, -78.26374184207607]"
"[-25.9061262, 153.0902594]"
"[-33.8739831, 151.2810366]"
"[-35.165246999999994, 138.49759291797292]"
"[25.2653471, 55.2924914]"
"[-16.39813, 123.87075]"
"[-4.1665, 152.4550125]"
"[-22.1676665, 166.4580117]"
"[-45.8740984, 170.5035755]"
"[-45.8740984, 170.5035755]"
"[-28.3069529, 153.5218903]"
"[-29.861825, 31.009909]"
"[-29.861825, 31.009909]"
"[-29.8858574, 30.977734420357198]"
"[44.49765965, -67.80864630668714]"
"[-43.0171208, 147.9254449]"
"[-28.8595562, 153.5832729]"
"[29.3173116, -94.7534055]"
"[-33.6011399, 26.9010924]"
"[52.3602499, 175.9475652]"
"[-33.0191604, 27.8998573]"
"[40.7792911, -73.92771]"
"[-37.8421442, 144.9310963]"
"[38.833496100000005, -77.3042559202443]"
"[43.679108600000006, -79.2720672687906]"
"[32.4793551, -80.3348229]"
"[-33.7211586, 150.4773453]"
"[-33.9951567, 18.7684925]"
"[39.44065465, -74.61832235823022]"
"[27.58950465, -82.76205154774937]"
"[18.01405005, -65.84695358835037]"
"[34.0391793, -118.8926614]"
"[42.102991200000005, -83.14730418107487]"
"[48.90151285, -125.27546154904664]"
"[26.528814099999998, -76.96749196517237]"
"[-11.9136184, 135.8022439624055]"
"[36.2956836, -76.2247697]"
"[46.3857808, -82.6473781]"
"[32.7688726, -79.993472]"
"[25.309294, 34.860591645422446]"
"[41.4039201, -88.1117242]"
"[-37.8870318, 144.98174346499763]"
"[36.5756225, -93.6718592]"
"[-41.0981881, 175.1009135]"
"[34.665333, -77.0382549]"
"[-14.1705146, 130.326799]"
"[-35.57341, 138.75155]"
"[11.5141037, 162.06439324194528]"
"[26.9233958, -82.3598179]"
"[59.3547222, -151.9311111]"
"[31.8658887, -116.6029835]"
"[-2.6723463, 150.74223301655667]"
"[43.4370721, -3.5139242]"
"[-33.858228, 121.8931606]"
"[-19.5687682, -40.1721991]"
"[-27.049268050000002, -48.58776831281135]"
"[39.3270541, 2.9902294221377312]"
